"Team","Name","Characters","Wins","Losses","Draws","Total Played","Win %","Score","Last Match"
"","Mittens","","140","9","0","149","93","4422","09/01/2015 10:36:47 PM"
"","Alphicans","","152","17","0","169","89","4071","09/01/2015 10:36:47 PM"
"","Quaff","","102","27","0","129","79","3786","09/01/2015 10:36:47 PM"
"","SubzeroKing","","64","17","0","81","79","3753","09/01/2015 10:36:47 PM"
"","Sleak","","74","21","0","95","77","3652","09/01/2015 10:36:47 PM"
"","AozoraX","","98","28","0","126","77","3639","03/01/2015 12:00:00 AM"
"","Superboom","","19","2","0","21","90","3581","21/12/2014 12:00:00 AM"
"","Mach5","","88","24","0","112","78","3562","09/01/2015 10:36:47 PM"
"","Bread","","87","26","0","113","76","3532","09/01/2015 10:36:47 PM"
"","JesusStevo","","36","10","0","46","78","3461","04/12/2014 12:00:00 AM"
"","Crusayer","","199","62","0","261","76","3458","09/01/2015 10:36:47 PM"
"","Dragonz","","48","20","0","68","70","3271","04/12/2014 12:00:00 AM"
"","Victra","","182","68","0","250","72","3253","09/01/2015 10:36:47 PM"
"","Yardsale","","180","94","0","274","65","3100","09/01/2015 12:00:00 AM"
"","Limeee","","97","51","0","148","65","3006","04/01/2015 3:08:17 PM"
"","Anjo","","174","89","0","263","66","3005","09/01/2015 10:36:47 PM"
"","lee","","12","7","0","19","63","2974","04/12/2014 12:00:00 AM"
"","Sega","","145","92","0","237","61","2933","04/01/2015 3:08:17 PM"
"","Zigzagoon","","41","20","0","61","67","2907","04/12/2014 12:00:00 AM"
"","Klash","","32","16","0","48","66","2888","04/12/2014 12:00:00 AM"
"","Skin Flakes","","37","25","0","62","59","2818","21/12/2014 12:00:00 AM"
"","Odds","","48","31","0","79","60","2728","09/01/2015 10:36:47 PM"
"","Booshk","","9","2","0","11","81","2715","04/12/2014 12:00:00 AM"
"","Crook","","36","15","0","51","70","2697","09/01/2015 10:36:47 PM"
"","Face","","59","47","0","106","55","2696","04/01/2015 3:08:17 PM"
"","Lights","","28","17","0","45","62","2687","04/12/2014 12:00:00 AM"
"","Ennbeard","","29","18","0","47","61","2673","04/12/2014 12:00:00 AM"
"","After Dawn","","18","10","0","28","64","2666","04/12/2014 12:00:00 AM"
"","Scythe","","69","42","0","111","62","2593","21/12/2014 12:00:00 AM"
"","Nugs","","113","98","0","211","53","2568","09/01/2015 10:36:47 PM"
"","TIGER-COOL","","10","4","0","14","71","2562","04/12/2014 12:00:00 AM"
"","DertyMike","","23","15","0","38","60","2560","03/01/2015 12:00:00 AM"
"","Vash","","9","3","0","12","75","2519","21/12/2014 12:00:00 AM"
"","BlueZone","","28","18","0","46","60","2506","21/12/2014 12:00:00 AM"
"","Henry","","28","20","0","48","58","2459","05/12/2014 12:00:00 AM"
"","JredL","","7","3","0","10","70","2447","04/12/2014 12:00:00 AM"
"","Espard","","25","17","0","42","59","2431","09/01/2015 12:00:00 AM"
"","Bryan T","","36","27","0","63","57","2416","09/01/2015 12:00:00 AM"
"","Ecchi","","68","45","0","113","60","2410","05/12/2014 12:00:00 AM"
"","Okada","","35","21","0","56","62","2408","06/12/2014 12:00:00 AM"
"","CSH","","59","43","0","102","57","2401","03/01/2015 12:00:00 AM"
"","HongKongDisco","","70","57","0","127","55","2392","21/12/2014 12:00:00 AM"
"","Yoshiii6","","58","56","0","114","50","2337","04/01/2015 12:00:00 AM"
"","Starman","","23","20","0","43","53","2335","09/01/2015 10:36:47 PM"
"","Isaac","","59","42","0","101","58","2321","21/12/2014 12:00:00 AM"
"","Ashley","","44","39","0","83","53","2283","09/01/2015 10:36:47 PM"
"","Frio","","25","19","0","44","56","2282","04/12/2014 12:00:00 AM"
"","Kuraudo","","35","26","0","61","57","2260","09/01/2015 12:00:00 AM"
"","JV","","72","52","0","124","58","2252","04/01/2015 3:08:17 PM"
"","GhillieGuide","","34","33","0","67","50","2241","04/12/2014 12:00:00 AM"
"","Aletheia","","80","81","0","161","49","2235","09/01/2015 12:00:00 AM"
"","PL4YER","","38","21","0","59","64","2235","04/12/2014 12:00:00 AM"
"","Sraigux","","30","26","0","56","53","2227","05/12/2014 12:00:00 AM"
"","Teal","","56","35","0","91","61","2219","04/01/2015 3:08:17 PM"
"","T-Block","","25","15","0","40","62","2219","04/12/2014 12:00:00 AM"
"","Jarrod","","5","1","0","6","83","2215","04/12/2014 12:00:00 AM"
"","RTS Victa","","15","14","0","29","51","2203","04/12/2014 12:00:00 AM"
"","Goro","","36","29","0","65","55","2192","04/12/2014 12:00:00 AM"
"","Tea","","39","44","0","83","46","2188","09/01/2015 10:36:47 PM"
"","TheGroose","","23","21","0","44","52","2187","04/12/2014 12:00:00 AM"
"","Bbro","","24","14","0","38","63","2166","21/12/2014 12:00:00 AM"
"","Jraff","","33","26","0","59","55","2165","04/12/2014 12:00:00 AM"
"","Lezarre","","19","12","0","31","61","2155","04/12/2014 12:00:00 AM"
"","DEW","","28","22","0","50","56","2143","05/12/2014 12:00:00 AM"
"","DMA","","8","7","0","15","53","2100","04/12/2014 12:00:00 AM"
"","Pelican","","26","25","0","51","50","2080","04/01/2015 3:08:17 PM"
"","Krizski","","40","42","0","82","48","2069","09/01/2015 12:00:00 AM"
"","Arkaik","","29","38","0","67","43","2066","04/12/2014 12:00:00 AM"
"","Vinny P","","23","22","0","45","51","2063","04/01/2015 3:08:17 PM"
"","Mr.Green","","24","21","0","45","53","2046","04/12/2014 12:00:00 AM"
"","Gerbii","","28","27","0","55","50","2040","04/12/2014 12:00:00 AM"
"","Raptor","","42","46","0","88","47","2029","04/01/2015 3:08:17 PM"
"","Starkiller","","5","6","0","11","45","1989","04/12/2014 12:00:00 AM"
"","Ark","","28","22","0","50","56","1985","04/12/2014 12:00:00 AM"
"","Matrix","","6","2","0","8","75","1968","04/12/2014 12:00:00 AM"
"","Hub","","17","13","0","30","56","1968","04/12/2014 12:00:00 AM"
"","BrningPyre","","44","51","0","95","46","1942","21/12/2014 12:00:00 AM"
"","Punch Crew Aaron","","10","4","0","14","71","1941","04/12/2014 12:00:00 AM"
"","HeavyRoy","","21","10","0","31","67","1940","06/12/2014 12:00:00 AM"
"","Dlink","","10","14","0","24","41","1884","04/12/2014 12:00:00 AM"
"","Rubix","","42","49","0","91","46","1884","04/01/2015 3:08:17 PM"
"","Neri","","14","22","0","36","38","1857","04/01/2015 3:08:17 PM"
"","Exodus","","41","44","0","85","48","1831","09/01/2015 12:00:00 AM"
"","MagnuM","","7","7","0","14","50","1822","04/12/2014 12:00:00 AM"
"","Comet","","9","10","0","19","47","1812","04/12/2014 12:00:00 AM"
"","Dr. Drew","","5","3","0","8","62","1808","04/12/2014 12:00:00 AM"
"","Taste","","9","8","0","17","52","1787","04/12/2014 12:00:00 AM"
"","Fletch","","15","12","0","27","55","1781","04/12/2014 12:00:00 AM"
"","Weathercock","","12","13","0","25","48","1779","04/12/2014 12:00:00 AM"
"","LemonLau","","5","8","0","13","38","1774","04/12/2014 12:00:00 AM"
"","Silent J","","4","3","0","7","57","1769","04/12/2014 12:00:00 AM"
"","Yojimbo","","32","41","0","73","43","1736","09/01/2015 12:00:00 AM"
"","Drunken Archon","","15","9","0","24","62","1718","04/12/2014 12:00:00 AM"
"","MikeMonkey","","2","5","0","7","28","1713","04/12/2014 12:00:00 AM"
"","Kai","","2","2","0","4","50","1697","04/12/2014 12:00:00 AM"
"","Trung","","6","1","0","7","85","1691","04/12/2014 12:00:00 AM"
"","Yaphet","","30","23","0","53","56","1689","05/12/2014 12:00:00 AM"
"","Bananas","","45","65","0","110","40","1680","04/01/2015 3:08:17 PM"
"","FarHAM","","21","37","0","58","36","1637","04/12/2014 12:00:00 AM"
"","Frozen","","25","24","0","49","51","1634","21/12/2014 12:00:00 AM"
"","JKrizzle","","9","9","0","18","50","1623","04/12/2014 12:00:00 AM"
"","Xero","","4","4","0","8","50","1617","04/12/2014 12:00:00 AM"
"","Terrorbyte","","25","41","0","66","37","1615","04/12/2014 12:00:00 AM"
"","Donneykong","","12","15","0","27","44","1595","21/12/2014 12:00:00 AM"
"","Washtackles","","12","17","0","29","41","1591","04/12/2014 12:00:00 AM"
"","AnthonyK","","6","2","0","8","75","1585","04/12/2014 12:00:00 AM"
"","Annu","","27","37","0","64","42","1573","21/12/2014 12:00:00 AM"
"","Cameronom","","13","17","0","30","43","1566","04/12/2014 12:00:00 AM"
"","SlipnSlide","","10","14","0","24","41","1540","21/12/2014 12:00:00 AM"
"","Macho","","21","32","0","53","39","1515","21/12/2014 12:00:00 AM"
"","Broken","","21","26","0","47","44","1511","05/12/2014 12:00:00 AM"
"","On2","","10","4","0","14","71","1507","04/12/2014 12:00:00 AM"
"","Momo","","11","14","0","25","44","1480","04/12/2014 12:00:00 AM"
"","UnrealOdin","","10","18","0","28","35","1479","09/01/2015 12:00:00 AM"
