Mittens,Marth
Alphicans,Fox/YoungLink
Superboom,Marth
Anjo,Falco
Sega,Marth/Jigglypuff
Scythe,Falcon
Nugs,Samus
Sleak,Fox/Falco
FalseFalco,Fox/Falco/Marth
Subzero King,Doc/Sheik
Bread,Ganondorf/Sheik
Crusayer,Falco/Fox
Zigzagoon,Pikachu
Victra,Falcon/Peach
KillLock,Marth
Quaff,Marth
Klash,Doc/DK
Face,Falcon/Ganondorf/Falco
After Dawn,Pichu/Random
Limeee,Fox
AozoraX,Peach
lee,Mario
Bernard,Falcon
Dragonz,Fox/Sheik
Mach5,Falcon/Falco
Stutterfoot,Link/Marth/Falco
Stevo,DK/Sheik
Tags,Jigglypuff/Marth/Sheik
Yardsale,IceClimbers/Peach
Frio,Pikachu/Marth
Vinny P,Luigi
Hub,Bowser
HongKongDisco,Marth
Odds,Falco
Taste,Jigglypuff
CSH,Yoshi
Aletheia,Peach
Yolo Ali,Samus
TBLOCK,MasterHand/Ness/Kirby
Midnight Maveric,Zelda
Sraigux,GaW
Rts Victa,Falco
Kuraudo,Mewtwo/Ganondorf/Roy
TheGroose,Falco
DMA,Pichu/Pikachu
Lilseph,Marth
D-link,Link
Comet,Ness
BlueZone,Luigi/Roy
Lon,GigaBowser
Mute,Sandbag
Henry,Falcon
c-lusion,Doc
